,Unnamed: 0,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
302,302,Patrick O'Bryant,C,20.0,GSW,16.0,0.0,7.4,0.6,2.0,0.313,0.0,0.0,0.0,0.6,2.0,0.313,0.313,0.7,1.1,0.647,0.4,0.9,1.3,0.6,0.4,0.5,0.5,1.6,1.9
303,303,Jermaine O'Neal,C,28.0,IND,69.0,69.0,35.6,7.2,16.5,0.436,0.0,0.1,0.0,7.2,16.4,0.439,0.436,5.0,6.5,0.767,2.2,7.4,9.6,2.4,0.7,2.6,2.9,3.4,19.4
304,304,Shaquille O'Neal*,C,34.0,MIA,40.0,39.0,28.4,7.1,12.0,0.591,0.0,0.0,0.0,7.1,12.0,0.591,0.591,3.1,7.4,0.42200000000000004,2.4,5.0,7.4,2.0,0.2,1.4,2.4,3.5,17.3
305,305,Fabricio Oberto,PF,31.0,SAS,79.0,33.0,17.3,2.0,3.6,0.562,0.0,0.0,0.0,2.0,3.6,0.562,0.562,0.4,0.6,0.647,1.7,3.0,4.7,0.9,0.3,0.3,0.9,2.7,4.4
306,306,Lamar Odom,PF,27.0,LAL,56.0,56.0,39.3,5.7,12.2,0.46799999999999997,1.0,3.3,0.297,4.7,8.9,0.531,0.508,3.5,5.1,0.7,1.8,7.9,9.8,4.8,0.9,0.6,2.9,3.3,15.9
307,307,Emeka Okafor,C,24.0,CHA,67.0,65.0,34.8,5.9,11.0,0.532,0.0,0.0,0.0,5.9,11.0,0.532,0.532,2.6,4.4,0.593,3.9,7.4,11.3,1.2,0.9,2.6,1.7,3.1,14.4
308,308,Mehmet Okur,C,27.0,UTA,80.0,80.0,33.3,6.1,13.3,0.462,1.6,4.2,0.384,4.5,9.1,0.498,0.523,3.7,4.8,0.765,2.0,5.2,7.2,2.0,0.5,0.5,1.6,3.2,17.6
309,309,Kevin Ollie,PG,34.0,PHI,53.0,23.0,17.3,1.5,3.5,0.433,0.0,0.0,0.0,1.5,3.5,0.43799999999999994,0.433,0.7,0.8,0.8220000000000001,0.2,1.2,1.4,2.5,0.4,0.0,0.9,1.4,3.8
310,310,Michael Olowokandi,C,31.0,BOS,24.0,0.0,9.8,0.8,1.9,0.413,0.0,0.0,0.0,0.8,1.9,0.413,0.413,0.1,0.1,0.667,0.6,1.4,2.0,0.2,0.3,0.5,0.7,2.0,1.7
311,311,Bo Outlaw,PF,35.0,ORL,41.0,0.0,11.2,0.8,1.2,0.667,0.0,0.0,0.0,0.8,1.2,0.667,0.667,0.3,0.5,0.591,1.1,1.4,2.6,0.4,0.4,0.1,0.5,1.4,2.0
